FID,huc12num,areasqkm,Area,LATITUDE,LONGITUDE,pt30m,pt1h,pt2h,pt3h,pt6h,pt12h,pt24h,pt2d,pt3d,wp30m,wp1h,wp2h,wp3h,wp6h,wp12h,wp24h,wp2d,wp3d,WIPMP30m,WIPMP1h,WIPMP2h,WIPMP3h,WIPMP6h,WIPMP12h,WIPMP24h,WNPMP30m,WNPMP1h,WNPMP2h,WNPMP3h,WNPMP6h,WNPMP12h,WNPMP24h,STN30m,STN1h,STN2h,STN3h,STN6h,STN12h,STN24h
33,1.026E+11,104.5,40.755,38.9267,-97.2131,32.05571973,39.32545991,46.59520008,57.79629224,86.81873012,112.4949748,140.4983334,195.3179272,250.6796777,36.16849271,43.27861373,50.38873474,60.02546486,96.47509034,116.2190811,150.8343344,208.1931033,278.1766798,30.40392635,43.94990369,44.58557643,55.61474743,71.66374785,105.3708971,127.8774002,17.42100139,27.0653957,29.54050942,37.19668244,55.5196537,81.5218019,109.5207121,34.30477299,48.36792525,48.21549817,57.75977901,79.63450442,108.8591633,137.2849206
34,1.026E+11,116.37,45.3843,38.7711,-97.8564,29.24626631,37.19800758,46.1723215,54.86313457,77.42704368,99.64198504,140.5609151,263.0644508,289.1897086,30.96003717,46.29710683,47.48155978,56.29485184,79.88395552,104.1201815,142.4597581,288.5162341,317.4464001,26.67365827,26.40861455,44.0176008,51.81237891,73.17413404,99.64201432,137.6861392,14.33932828,18.39221204,27.7331211,34.23720867,52.63424837,77.9727141,111.3244057,28.23667961,32.86849293,45.26574094,53.16448316,75.49609272,104.1202121,139.5461467
35,1.026E+11,68.48,26.7072,39.3214,-99.5886,32.99738648,44.58759289,46.21679159,57.96190846,96.5995967,175.4216392,256.8191744,260.8828362,285.5144828,34.56090054,40.91181947,47.2627384,62.79104534,109.4174804,196.929129,275.0323675,289.0517782,300.2008924,33.0110264,40.83268288,46.37124405,52.07679321,80.180263,144.3672721,231.1366996,17.56775839,27.13837197,29.06372796,36.34218355,63.3328294,121.3905962,197.4966418,34.57518676,48.47718937,47.42068632,56.4156076,90.81945117,162.0673554,247.5285339
36,1.026E+11,119.57,46.6323,39.4481,-98.97,28.53751861,37.7388447,43.64269362,57.07493658,78.17084444,93.00164961,162.3275407,187.7977011,237.3075554,29.85246915,42.5686135,45.06828736,58.57567969,83.29524652,96.07383067,169.9244552,202.2092811,255.5485253,25.93369834,28.12825564,40.84395599,54.10173958,67.3699386,88.4189194,146.7841602,13.77664002,17.7540555,25.84140819,35.75688419,50.04784104,68.40173785,122.5787838,27.12867016,31.72807362,42.17812864,55.52430468,71.78629941,91.3397163,153.6536459
37,1.026E+11,98.26,38.3214,39.2425,-98.8678,32.67648206,43.37928602,44.2354542,55.31977937,78.95421272,89.19161847,164.064257,208.714195,246.3331325,33.28417084,44.39760322,46.58904615,59.55068265,81.88495824,93.18640938,171.9891817,223.3757037,260.4023415,32.0073199,38.10635818,41.1604974,49.92264598,74.94445295,83.57500501,154.5823755,16.55674173,24.68761162,26.56000989,34.60869154,54.18958492,65.39059626,129.2771422,32.60256418,44.11826847,43.35048317,53.74077196,77.72635796,87.31823421,162.0492894
38,1.026E+11,90.84,35.4276,39.5147,-98.4353,29.37114901,35.33138526,41.29162151,49.49167289,69.39976418,87.47220945,115.9043189,185.4608297,221.5242689,31.00763183,43.70611941,44.41675828,53.9757704,75.16939082,92.34676703,122.9312377,200.0389752,230.3946074,28.22099413,34.59667226,38.64758677,49.32908562,67.19386077,86.93393053,117.9359187,15.13054541,23.94891621,25.47118156,34.64636041,50.74173231,68.73140884,99.78984523,29.79339336,42.79725456,41.57261103,53.79845222,72.78009717,91.77849148,125.0860071
39,1.026E+11,77.49,30.2211,39.4575,-98.1125,29.26815304,37.70003744,41.32131054,54.22950115,74.48485322,86.58228366,121.4085662,190.6116882,227.9074032,30.53107036,40.07446924,42.78380849,58.70354992,78.56317714,90.10965468,129.9867339,200.7198435,230.9162895,28.98541472,35.66896803,39.46672142,46.20177945,65.77969752,76.78568281,117.5922363,15.35780313,21.2198313,25.03933074,32.21174328,48.37558091,59.8494947,100.4439597,30.23613191,37.91547858,40.86357932,50.01352417,69.38138165,79.91393932,125.9007598
40,1.026E+11,119.81,46.7259,39.1886,-98.0467,31.39427199,43.26511375,43.93547876,52.05806762,72.20601477,84.97035922,139.9208715,227.5278563,256.4840501,32.64939645,46.11059073,46.29476971,54.08820497,73.37768935,85.64267077,145.0520698,240.3563886,264.55187,29.58523054,31.79240425,41.44389842,50.30516674,69.65791831,85.14875623,142.0597843,15.6248005,24.92378762,26.75506556,33.65918874,49.35201836,64.27003346,117.4857009,30.76803059,44.54102349,43.66939402,52.26694524,70.78824537,85.82247931,147.2694211
41,1.02701E+11,100.14,39.0546,39.5025,-96.3169,35.82836336,42.84472362,49.86108388,62.27339589,80.1889578,100.7572969,136.6632608,182.322981,222.1122833,37.35729233,51.35982661,54.67633672,68.92548476,91.43570025,112.5053279,145.4496498,198.4177669,235.9350231,32.3742145,37.35676191,41.54114354,52.79390641,65.22982308,85.92710176,123.2008622,17.14229905,28.41241729,27.90932398,37.63062078,51.85542128,71.85161052,104.6041256,33.75574214,50.77488577,45.55291171,58.43338941,74.37850191,95.94597172,131.1217233
42,1.02701E+11,157.12,61.2768,38.8619,-96.4725,32.01255143,39.40418423,51.10233248,63.4966991,95.75451873,115.6489383,146.3993389,199.4198289,216.5838453,33.95074082,42.67485546,53.99267894,68.96720914,103.985452,125.055102,160.8671842,222.440629,234.784914,32.01256093,37.17321999,50.46017707,63.4967202,95.7545388,114.5178861,138.2036077,17.24103389,22.52750271,32.66413907,44.41389192,72.49633648,92.73427033,121.1490273,33.95075089,40.25871417,53.31420324,68.96723206,103.9854738,123.8320571,151.8615137
43,1.02701E+11,121.41,47.3499,39.4269,-95.9156,40.15355801,51.92185276,61.13168559,80.62988347,103.25481,121.3173294,163.9117668,233.4720337,257.992736,40.99734527,52.64113075,63.09194186,87.66435274,108.9167087,128.2884788,170.478379,239.9784787,272.750669,39.75665645,50.89983654,61.13168979,80.62989674,103.2388478,119.7431313,162.2005241,20.61371162,28.87653979,38.6547338,56.45462774,75.92260038,94.82499877,134.5810228,40.59210322,51.60495645,63.09194619,87.66436717,108.8998712,126.623824,168.6985807
44,1.02701E+11,97.66,38.0874,38.8492,-95.8331,32.66502684,40.37109439,47.99595414,58.03358184,91.00587473,163.3938308,197.738411,266.600102,292.3778616,35.10715366,44.6845207,53.62099231,64.66146883,101.0148972,179.4411595,220.7786145,281.3480432,306.6875023,30.67652563,36.07746082,42.53936557,50.38058218,80.97558899,150.3143782,174.2186213,16.74335597,22.3451703,29.11762325,36.15022515,62.66396904,123.6224952,155.1798443,32.96998666,39.93213633,47.52490152,56.13443701,89.88145899,165.0771402,194.5183318
45,1.02701E+11,130.11,50.7429,38.9167,-95.4,31.61038838,40.30927986,44.46444289,57.54867313,101.5392423,163.9921565,202.1885662,273.1959706,303.0960549,32.78012161,45.09774988,47.19145998,61.67005836,111.6480601,176.5260084,221.4227352,291.6761431,330.095422,31.36181965,36.292607,41.38434023,52.15628721,96.54812968,152.5731251,177.9321752,16.51566909,22.72068233,26.91008457,35.99331951,74.0124251,122.9903198,155.4505934,32.52235467,40.60392343,43.92245374,55.89149326,106.1600534,164.2342252,194.8588372
46,1.02701E+11,140.49,54.7911,38.9406,-95.3397,31.56492771,37.42851648,43.29210525,57.26679279,88.47219818,151.7053392,183.9234856,272.4755431,286.4326295,32.96992516,39.24303408,45.516143,61.5069971,107.0141674,168.4983248,199.1801742,288.2416045,302.6018022,30.3574635,34.01606717,41.07729834,56.58798784,80.84380123,144.6204916,168.5620632,16.10247531,25.82405349,26.4598247,39.14010564,68.1749149,120.2906172,145.6266921,31.70871509,46.14994626,43.1875552,60.7779314,97.78701395,160.6292217,182.5445021
47,1.02701E+11,152.24,59.3736,39.0636,-94.8958,32.27708744,41.64817259,48.03884386,61.58061875,105.5098834,151.1157902,191.4111151,279.6849432,295.2795256,33.92516871,45.01287524,49.21178098,64.77423838,115.3165767,167.288966,199.4058595,300.6138245,308.9603887,30.54808293,39.26017332,46.55408464,57.29811874,98.23961904,138.1995229,189.2972803,16.30517898,23.74357862,29.21881691,38.8127729,74.85635192,114.5700676,157.3212349,32.10788052,42.43195256,47.69076924,60.26964453,107.3705723,152.9903345,197.2037353
48,1.02702E+11,64.94,25.3266,40.0489,-96.5747,31.84007987,43.1055693,45.52277207,58.36809123,84.37352737,104.6260622,160.7420848,249.736342,287.0823019,33.05185992,45.22442645,46.2515715,60.46569101,87.78779954,108.819616,164.7377384,255.568835,289.0939345,29.84287385,40.50724514,44.03935636,56.16986717,84.37353656,104.6260809,160.7421153,15.74441186,23.79632567,27.42808359,37.48976418,61.22581064,81.51463991,131.4489128,30.97864359,42.49838149,44.74440696,58.1884684,87.7878091,108.8196354,164.7377697
49,1.02702E+11,140.01,54.6039,39.9031,-96.7656,33.75942547,39.71700819,45.6745909,56.79135675,77.23519293,93.63988905,152.7562432,246.7070909,284.9253557,34.74543868,40.54678806,46.34813743,58.45916282,83.92770112,103.2795139,160.2117593,255.8631113,293.5885809,32.92722713,38.89911741,43.826993,53.94956417,64.57168476,74.80798687,134.7260104,17.20964512,27.36280773,27.24756143,35.76303516,48.9187816,61.78861525,112.7247027,33.88893428,48.89984041,44.47329368,55.5339146,70.16688706,82.5089884,141.3015318
50,1.02702E+11,153.06,59.6934,39.8678,-96.2547,30.25840297,34.84846335,45.90194594,56.74707661,75.75914617,95.62053945,136.817429,207.065335,244.3054882,30.65685241,36.99120733,49.92758279,59.25008374,79.44037368,99.09728305,146.4004745,224.5506945,256.2739627,29.79396818,30.68145284,45.90194716,56.57474387,74.00807164,94.21118252,130.7466252,15.32935353,18.22401028,30.5892515,38.04031562,54.10391406,73.11730704,111.6101666,30.18630184,32.56797787,49.92758412,59.07014973,77.60421234,97.63668219,139.9044559
