FID,huc12num,Area,S_N,GAUGE_NAME,SITE_ID,LATITUDE,LONGITUDE,GageH,STN30m,STN1h,STN2h,STN3h,STN6h,STN12h,STN24h
33,102600080801,40.755,457,ABILENE,14-0010,38.9267,-97.2131,1170,34.30477299,48.36792525,48.21549817,57.75977901,79.63450442,108.8591633,137.2849206
34,102600100404,45.3843,777,BROOKVILLE,14-1057,38.7711,-97.8564,1370,28.23667961,32.86849293,45.26574094,53.16448316,75.49609272,104.1202121,139.5461467
35,102600130501,26.7072,1086,DAMAR,14-1999,39.3214,-99.5886,2100,34.57518676,48.47718937,47.42068632,56.4156076,90.81945117,162.0673554,247.5285339
36,102600140207,46.6323,509,ALTON 2SW,14-0200,39.4481,-98.97,1710,27.12867016,31.72807362,42.17812864,55.52430468,71.78629941,91.3397163,153.6536459
37,102600140305,38.3214,1046,COVERT,14-1875,39.2425,-98.8678,1880,32.60256418,44.11826847,43.35048317,53.74077196,77.72635796,87.31823421,162.0492894
38,102600150101,35.4276,886,CAWKER CITY,14-1371,39.5147,-98.4353,1470,29.79339336,42.79725456,41.57261103,53.79845222,72.78009717,91.77849148,125.0860071
39,102600150204,30.2211,654,BELOIT,14-0693,39.4575,-98.1125,1405,30.23613191,37.91547858,40.86357932,50.01352417,69.38138165,79.91393932,125.9007598
40,102600150406,46.7259,613,BARNARD,14-0532,39.1886,-98.0467,1332,30.76803059,44.54102349,43.66939402,52.26694524,70.78824537,85.82247931,147.2694211
41,102701020205,39.0546,704,BLAINE 4E,14-0877,39.5025,-96.3169,1540,33.75574214,50.77488577,45.55291171,58.43338941,74.37850191,95.94597172,131.1217233
42,102701020301,61.2768,505,ALTA VISTA,14-0195,38.8619,-96.4725,1430,33.95075089,40.25871417,53.31420324,68.96723206,103.9854738,123.8320571,151.8615137
43,102701020802,47.3499,948,CIRCLEVILLE 7 SW,14-1529,39.4269,-95.9156,1200,40.59210322,51.60495645,63.09194619,87.66436717,108.8998712,126.623824,168.6985807
44,102701040102,38.0874,803,BURLINGAME 6 N,14-1162,38.8492,-95.8331,1120,32.96998666,39.93213633,47.52490152,56.13443701,89.88145899,165.0771402,194.5183318
45,102701040107,50.7429,971,CLINTON,14-1608,38.9167,-95.4,930,32.52235467,40.60392343,43.92245374,55.89149326,106.1600534,164.2342252,194.8588372
46,102701040108,54.7911,974,CLINTON LAKE,14-1612,38.9406,-95.3397,979,31.70871509,46.14994626,43.1875552,60.7779314,97.78701395,160.6292217,182.5445021
47,102701040603,59.3736,731,BONNER SPRINGS,14-0957,39.0636,-94.8958,830,32.10788052,42.43195256,47.69076924,60.26964453,107.3705723,152.9903345,197.2037353
48,102702050104,25.3266,614,BARNESTON,25-0520,40.0489,-96.5747,1200,30.97864359,42.49838149,44.74440696,58.1884684,87.7878091,108.8196354,164.7377697
49,102702050203,54.6039,756,BREMEN 1 E,14-1003,39.9031,-96.7656,1298,33.88893428,48.89984041,44.47329368,55.5339146,70.16688706,82.5089884,141.3015318
50,102702050301,59.6934,599,AXTELL,14-0471,39.8678,-96.2547,1365,30.18630184,32.56797787,49.92758412,59.07014973,77.60421234,97.63668219,139.9044559
51,102702050303,35.5602,906,CENTRALIA,14-1408,39.7242,-96.1258,1320,31.23260738,35.81298586,47.24861535,57.46496369,74.17261584,97.95774826,151.2278728
52,102702050404,58.1802,979,CLYDE RIVER,14-1635,39.5833,-96.4,1230,34.07579725,46.21858555,45.9675467,55.55251041,69.31362102,93.81898242,137.774188
53,102702050503,58.6911,724,BLUE RAPIDS,14-0911,39.6844,-96.6597,1075,34.41142493,42.90295648,49.27963136,59.85735088,74.45755089,103.9313377,167.1154592
54,102702060305,17.2692,721,BLUE HILL 4 SW,25-0961,40.3058,-98.5047,2000,28.86725271,37.64209948,41.95085781,54.87595558,82.93132907,108.2690312,169.1379401
55,102702060405,42.3774,720,BLUE HILL,25-0960,40.3333,-98.4333,1967,30.50953107,37.66246635,39.73740107,55.95445293,88.8477903,133.1449726,211.4325788
56,102702060601,52.7124,959,CLAY CTR 6 ESE,25-1680,40.5033,-97.9372,1734,30.86971777,52.9809708,41.74993746,52.14026749,75.8533588,115.0428826,161.2067355
57,102702060703,38.9025,786,BRUNING,25-1240,40.3328,-97.5653,1580,29.05387772,34.25792973,43.62827689,59.03959665,97.69871668,162.4369429,185.004094
58,102901010204,41.2542,802,BURLINGAME 5 NNW SCS 2,14-1158,38.8167,-95.8667,1201,39.20233137,43.79406132,60.55107201,77.89122336,122.2114204,197.8363481,251.2165183
